Palabra,Descripción
Buenos Días,Se coloca una letra b sobre el corazón y se mueve al frente. Luego se hace una d y se mueve en medio círculo hacia un lado.
Buenas Noches,Se coloca una letra b sobre el corazón y se mueve al frente. Luego se coloca una g sobre la frente y se mueve hacia abajo.
Importante,Formas un círculo con el pulgar y el índice y luego realizas un movimiento circular hacia arriba con ambas manos como si fueran hilos.
¿dónde?,Se representa con el dedo índice levantado sobre la mano como un signo de interrogación y moviéndolo lateralmente con la palma hacia el interior.
¿Para qué?,Se hace la seña de la palabra qué moviendo la mano de un lado a otro con la mano en una posición específica y se acompaña con una expresión facial interrogativa.
Lengua de Señas,Se representa haciendo primero el signo de lengua (mano cerca de la boca) y luego señas (manos moviéndose frente al cuerpo simulando comunicación con gestos).
Buenas Tardes,Se hace un gesto que combina buenas + tarde. Se toca ligeramente el pecho con la mano abierta para buenas y luego la mano abierta va al lado de la cabeza y baja hacia afuera para tarde.
Intérprete,Se representa moviendo la mano en forma de I desde la boca hacia afuera indicando comunicación de una lengua a otra.
Investigar,Se hace con la mano en forma de garra o C frente a la cabeza u ojos simulando examinar o buscar información.
¿Qué dice?,Se representa señalando la boca con la mano (índice o C) y levantando ligeramente las cejas indicando pregunta sobre lo que se dijo.
