Palabra,Descripción
Buenos Días,Se realiza haciendo la configuración de la letra B con la mano pegándola en el pecho y luego dejando caer la mano en una configuración de la letra D.
Buenas Noches,Se utiliza la configuración de la letra B en la mano colocándola en el pecho y luego se hace la configuración de la letra D con un movimiento hacia abajo asemejándose a la acción de que el sol se ocultó.
Importante,Se expresa moviendo las manos en semicírculo hacia arriba tocando los dedos índice y pulgar en la parte superior y manteniendo una expresión facial acorde a la relevancia del mensaje.
¿dónde?,Se realiza con una mano abierta la palma hacia abajo moviéndola de lado a lado con una leve inclinación hacia abajo mientras se alza la ceja.
¿Para qué?,Se puede traducir usando un gesto que indica para y una pregunta que es el señar de qué o propósito.
Lengua de Señas,Se representa haciendo el signo de lengua (mano cerca de la boca) y luego el de seña (mano moviéndose en el aire como señalando o formando signos).
¿Qué dice?,Se representa señalando la boca con la mano y haciendo un pequeño movimiento lateral indicando pregunta sobre lo que alguien dijo.
Investigar,Se hace con la mano cerca de la frente u ojos simulando buscar o examinar algo.
Intérprete,Se representa con un gesto que indica persona que traduce/comunica moviendo la mano desde la boca hacia adelante.
Buenas Tardes,Se hace un gesto que combina buenas + tarde. La mano abierta se mueve desde la barbilla hacia adelante indicando saludo y luego hacia abajo/lateral para tarde.
